Ticker,Nom,SUB_IND_GICS,IND_GICS,REGION_NAME,CUR_MKT_CAP,CURR_ENTP_VAL,NET_INCOME_FIRM,SALES_REV_TURN,NET_REV,GROSS_PROFIT,EBIT,EBITDA,NET_DEBT,CURRENT_EV_TO_T12M_EBIT,CURRENT_EV_TO_T12M_EBITDA,PX_TO_SALES_RATIO,TRAIL_12M_NET_SALES,CURRENT_EV_TO_12M_SALES,PE_RATIO,NUM_OF_EMPLOYEES,SUSTAIN_GROWTH_RT,PROF_MARGIN,Unnamed: 23
WDC,Western Digital Corp,"Technology Hardware, Storage & Peripherals",Information Technology,United States,13862253534.0,18974.25353,1109.722762,16922.0,,4521.0,1220.0,2482.0,5592.0,7.568821306,5.355420134,0.72232657,18941.0,1.001755638,7.369163533,65600.0,18.24506797,4.851672379,
STIM,Neuronetics Inc,Health Care Equipment,Health Care,United States,78552027.7,23.9550277,,55.312,,43.659,-27.564,-25.804,-54.597,,,1.384196013,55.312,0.433089161,,175.0,,-56.39463408,
CPA,Copa Holdings SA,Airlines,Industrials,Panama,3113725531.0,3700.588531,98.8580872,1509.931,,,145.655,380.16,586.863,25.40653277,9.734292221,2.067250653,1509.929,2.450832873,52.56784665,5667.0,3.097718974,2.645485125,
BRY,Berry Corp,Oil & Gas Exploration & Production,Energy,United States,760567140.4,1139.85014,,788.974,,355.034,18.082,162.577,379.283,63.03783544,7.011140201,1.208856389,627.956,1.444724592,9.510066176,1224.0,-1.007734677,-1.969900149,
HSII,Heidrick & Struggles International Inc,Human Resource & Employment Services,Industrials,United States,759563501.8,299.2955018,,1008.474,,955.689,98.264,136.736,-460.268,2.948834913,2.188856642,0.750617301,1008.474,0.296780583,9.459666966,1714.0,18.38189483,7.196219238,
DHT,DHT Holdings Inc,Oil & Gas Storage & Transportation,Energy,Bermuda,896253924.2,1357.928924,304.5446225,300.465,,1.614,0.202,128.841,461.641,6722.420417,10.53957144,3.035899206,300.465,4.519424639,,18.0,,-3.834390029,
FOCS,Focus Financial Partners Inc,Asset Management & Custody Banks,Financials,United States,3409518823.0,6016.691823,42.77707704,1797.951,,,102.872,379.685,2360.309,51.80663539,15.84653548,1.414883287,1797.951,3.346415905,18.40291347,4400.0,1.476520251,0.579103657,
HZO,MarineMax Inc,Specialty Stores,Consumer Discretionary,United States,949987131.4,1001.897131,157.739032,2063.257,,659.433,209.459,249.165,-39.638,4.459257833,3.815791578,0.449487899,2124.424,0.471608837,5.934411404,2666.0,29.98779498,7.511376431,
TENB,Tenable Holdings Inc,Systems Software,Information Technology,United States,5252986589.0,5162.788589,,541.13,,434.734,-41.768,-17.964,-90.198,,,9.384312847,541.13,9.540754697,,1617.0,,-8.625838523,
DAL,Delta Air Lines Inc,Airlines,Industrials,United States,20669731248.0,44029.73125,1179.798995,29899.0,,,1886.0,4747.0,23360.0,20.42614556,9.275275173,0.687980279,29900.0,1.472615514,,83000.0,,0.93648617,
KFY,Korn Ferry,Human Resource & Employment Services,Industrials,United States,3380788006.0,2864.069006,,1819.946,,440.137,155.784,273.138,-496.048,6.749193451,5.4969896,1.344280755,2473.846,1.157739409,11.09588122,7889.0,19.55655303,6.288867911,
SKX,Skechers USA Inc,Footwear,Consumer Discretionary,United States,5673826561.0,6723.704561,,6285.029,,3099.212,598.187,1028.273,767.15,10.53969456,6.538832159,0.899883367,6285.029,1.069796903,7.687103723,11700.0,25.83287042,11.79792488,
ZNGA,Zynga Inc,Interactive Home Entertainment,Communication Services,United States,9982179491.0,10323.47949,,2800.5,,1785.6,55.8,317.7,341.3,166.7767284,32.4944271,3.458758924,2800.4,3.686298693,393.0529977,2952.0,,-3.720764149,
SNBR,Sleep Number Corp,Homefurnishing Retail,Consumer Discretionary,United States,1371648525.0,2160.311525,158.8724811,2184.949,,1318.847,193.536,353.404,788.663,9.977135495,6.112866648,0.664412127,2184.949,0.988724005,9.939240224,,,7.036594447,
KIRK,Kirkland's Inc,Homefurnishing Retail,Consumer Discretionary,United States,137593405.8,272.9764058,,543.496,,172.838,8.287,77.158,93.612,6.99742139,4.550213459,0.259483141,576.907,0.473172289,5.303755614,4800.0,40.57648478,3.061476073,
UAL,United Airlines Holdings Inc,Airlines,Industrials,United States,11394335036.0,32354.33504,,24634.0,,,-1022.0,2395.0,20960.0,,13.50911693,0.461335555,24634.0,1.313401601,,84100.0,,-7.97272063,
CNC,Centene Corp,Managed Health Care,Health Care,United States,49078077947.0,57309.07795,1837.03861,125982.0,,22486.0,1784.0,3650.0,8004.0,29.58974506,15.70111725,0.389549661,125982.0,0.454898938,17.0066647,72500.0,5.124790747,1.069200362,
