Column1;#N/A Requesting Data...;#N/A Requesting Data..._1;#N/A Requesting Data..._2;#N/A Requesting Data..._3;#N/A Requesting Data..._4;#N/A Requesting Data..._5;#N/A Requesting Data..._6;#N/A Requesting Data..._7;#N/A Requesting Data..._8;#N/A Requesting Data..._9;#N/A Requesting Data..._10;#N/A Requesting Data..._11;#N/A Requesting Data..._12;#N/A Requesting Data..._13;#N/A Requesting Data..._14;Colonne1
;CUR_MKT_CAP;CURR_ENTP_VAL;NET_INCOME_FIRM;SALES_REV_TURN;NET_REV;GROSS_PROFIT;EBIT;EBITDA;NET_DEBT;CURRENT_EV_TO_T12M_EBIT;CURRENT_EV_TO_T12M_EBITDA;PX_TO_SALES_RATIO;TRAIL_12M_NET_SALES;CURRENT_EV_TO_12M_SALES;PE_RATIO;Datetime of data import
BIIB UW Equity;33197752912;37345,45291;4179,358197;13444,6;#N/A N/A;11639,4;4550,1;5287,2;4529,2;19,42041233;14,49689566;3,070305544;11100,5;3,364303672;32,24568357;
BIO UN Equity;17944234061;16843,50006;3823,221959;2545,626;#N/A N/A;1437,822;410,957;591,457;-753,927;30,20226301;23,25839912;5,999925421;2979,615;5,652911554;38,09450487;
BK UN Equity;47653632700;#N/A N/A;#N/A N/A;16158;15931;#N/A N/A;#N/A N/A;#N/A N/A;-85900;#N/A N/A;#N/A N/A;3,120389815;16158;#N/A N/A;14,1254347;
BKNG UW Equity;1,00857E+11;96738,25741;96,04409171;6796;#N/A N/A;#N/A N/A;-631;19;-2283;64,70786449;50,07156181;10,93763874;9215;10,49791182;85,65364672;
BKR UW Equity;28482720000;31356,72;#N/A N/A;20536;#N/A N/A;4049;1310;2415;2874;23,39104997;12,98414907;1,098209007;20536;1,526914686;21,41907666;
BLK UN Equity;1,25814E+11;128422,2133;#N/A N/A;19374;19374;#N/A N/A;8291;7025;-645;15,4893515;14,77645994;6,465909067;19374;6,628585388;21,77435693;
BLL UN Equity;31450258682;38624,25868;1106,214286;13811;#N/A N/A;2726;1291;1991;7174;29,67262206;19,39942676;2,29123765;13811;2,796630127;32,01955286;
BMY UN Equity;1,44033E+11;174238,7598;#N/A N/A;42518;#N/A N/A;30745;-9185;1385;35409;#N/A N/A;47,7759144;3,187078933;45468;3,832118409;20,68296806;
BR UN Equity;18561559987;22711,15999;592,640046;4993,7;#N/A N/A;1422,9;678,7;1066,8;3916,4;32,28768835;19,96585493;3,44166681;5373,9;4,226196987;31,76432895;
BRK/B UN Equity;6,99264E+11;328104,2509;45691,99095;286256;#N/A N/A;94326;59050;71049;-334809;#N/A Field Not Applicable;#N/A Field Not Applicable;#N/A Field Not Applicable;346046;#N/A Field Not Applicable;#N/A Field Not Applicable;
BRO UN Equity;18719250889;20022,15089;637,1281856;3051,4;#N/A N/A;#N/A N/A;827,8;980,7;1302,9;23,98147861;20,41618323;5,995207698;3051,433;6,561627741;30,81735684;
